,x,y,color
491,70,117,#26f7fd
492,72,126,#FFFF00
493,74,126,#F81894
494,70,117,#26f7fd
495,72,126,#FFFF00
496,74,126,#F81894
497,70,117,#26f7fd
498,72,126,#FFFF00
499,74,126,#F81894
500,70,117,#26f7fd
501,72,126,#FFFF00
502,74,126,#F81894
503,70,117,#26f7fd
504,72,126,#FFFF00
505,74,126,#F81894
506,70,118,#26f7fd
507,72,126,#FFFF00
508,74,126,#F81894
509,70,118,#26f7fd
510,72,126,#FFFF00
511,74,126,#F81894
512,70,118,#26f7fd
513,72,126,#FFFF00
514,74,126,#F81894
515,70,119,#26f7fd
516,72,126,#FFFF00
517,74,126,#F81894
518,71,119,#26f7fd
519,72,126,#FFFF00
520,74,126,#F81894
521,71,119,#26f7fd
522,72,126,#FFFF00
523,74,126,#F81894
524,71,119,#26f7fd
525,72,126,#FFFF00
526,74,126,#F81894
527,71,119,#26f7fd
528,72,126,#FFFF00
529,74,126,#F81894
530,71,119,#26f7fd
531,72,126,#FFFF00
532,74,126,#F81894
533,71,120,#26f7fd
534,72,126,#FFFF00
535,74,126,#F81894
536,71,120,#26f7fd
537,72,126,#FFFF00
538,74,126,#F81894
539,71,120,#26f7fd
540,72,126,#FFFF00
541,74,126,#F81894
542,71,121,#26f7fd
543,72,126,#FFFF00
544,74,126,#F81894
545,71,121,#26f7fd
546,72,126,#FFFF00
547,74,126,#F81894
548,71,121,#26f7fd
549,72,126,#FFFF00
550,74,126,#F81894
551,71,121,#26f7fd
552,72,126,#FFFF00
553,74,126,#F81894
554,71,121,#26f7fd
555,72,126,#FFFF00
556,74,126,#F81894
557,71,121,#26f7fd
558,72,126,#FFFF00
559,74,126,#F81894
560,71,121,#26f7fd
561,72,126,#FFFF00
562,74,126,#F81894
563,71,121,#26f7fd
564,72,126,#FFFF00
565,74,126,#F81894
566,71,121,#26f7fd
567,72,126,#FFFF00
568,74,126,#F81894
569,71,122,#26f7fd
570,72,126,#FFFF00
571,74,126,#F81894
572,71,122,#26f7fd
573,72,126,#FFFF00
574,74,126,#F81894
575,71,122,#26f7fd
576,72,126,#FFFF00
577,74,126,#F81894
578,71,123,#26f7fd
579,72,126,#FFFF00
580,74,126,#F81894
581,71,123,#26f7fd
582,72,126,#FFFF00
583,74,126,#F81894
584,71,123,#26f7fd
585,72,126,#FFFF00
586,74,126,#F81894
587,71,123,#26f7fd
588,72,126,#FFFF00
589,74,126,#F81894
590,71,123,#26f7fd
591,72,126,#FFFF00
592,74,126,#F81894
593,71,123,#26f7fd
594,72,126,#FFFF00
595,74,126,#F81894
596,71,123,#26f7fd
597,72,126,#FFFF00
598,74,126,#F81894
599,71,123,#26f7fd
600,72,126,#FFFF00
601,74,126,#F81894
602,71,123,#26f7fd
603,72,126,#FFFF00
604,74,126,#F81894
605,71,123,#26f7fd
606,72,126,#FFFF00
607,74,126,#F81894
608,71,123,#26f7fd
609,72,126,#FFFF00
610,74,126,#F81894
611,71,123,#26f7fd
612,72,126,#FFFF00
613,74,126,#F81894
614,71,123,#26f7fd
615,72,126,#FFFF00
616,74,126,#F81894
617,71,123,#26f7fd
618,72,126,#FFFF00
619,74,126,#F81894
620,71,123,#26f7fd
621,72,126,#FFFF00
622,74,126,#F81894
623,71,123,#26f7fd
624,72,126,#FFFF00
625,74,126,#F81894
626,71,123,#26f7fd
627,72,125,#FFFF00
628,74,126,#F81894
629,71,123,#26f7fd
630,72,125,#FFFF00
631,74,126,#F81894
632,71,123,#26f7fd
633,72,125,#FFFF00
634,74,126,#F81894
635,71,123,#26f7fd
636,72,124,#FFFF00
637,74,126,#F81894
638,71,123,#26f7fd
639,72,124,#FFFF00
640,74,126,#F81894
641,71,123,#26f7fd
642,72,123,#FFFF00
643,74,126,#F81894
644,71,123,#26f7fd
645,72,123,#FFFF00
646,74,126,#F81894
647,71,123,#26f7fd
648,71,122,#FFFF00
649,74,126,#F81894
650,71,123,#26f7fd
651,71,122,#FFFF00
652,74,126,#F81894
653,71,123,#26f7fd
654,71,122,#FFFF00
655,74,126,#F81894
656,71,123,#26f7fd
657,71,122,#FFFF00
658,74,126,#F81894
659,71,123,#26f7fd
660,72,122,#FFFF00
661,74,126,#F81894
662,71,123,#26f7fd
663,72,122,#FFFF00
664,74,126,#F81894
665,71,123,#26f7fd
666,72,122,#FFFF00
667,74,126,#F81894
668,71,123,#26f7fd
669,73,122,#FFFF00
670,74,126,#F81894
671,71,123,#26f7fd
672,73,122,#FFFF00
673,74,126,#F81894
674,71,123,#26f7fd
675,73,123,#FFFF00
676,74,126,#F81894
677,71,123,#26f7fd
678,73,123,#FFFF00
679,74,126,#F81894
680,71,123,#26f7fd
681,73,124,#FFFF00
682,74,126,#F81894
683,71,123,#26f7fd
684,73,124,#FFFF00
685,74,126,#F81894
686,71,123,#26f7fd
687,73,124,#FFFF00
688,74,126,#F81894
689,71,123,#26f7fd
690,73,124,#FFFF00
691,74,126,#F81894
692,71,123,#26f7fd
693,73,124,#FFFF00
694,74,126,#F81894
695,71,123,#26f7fd
696,73,124,#FFFF00
697,74,126,#F81894
698,71,123,#26f7fd
699,73,124,#FFFF00
700,74,126,#F81894
701,71,123,#26f7fd
702,73,124,#FFFF00
703,74,126,#F81894
704,71,123,#26f7fd
705,73,124,#FFFF00
706,74,126,#F81894
707,71,123,#26f7fd
708,73,124,#FFFF00
709,74,126,#F81894
710,71,123,#26f7fd
711,73,124,#FFFF00
712,74,126,#F81894
713,71,123,#26f7fd
714,73,123,#FFFF00
715,74,126,#F81894
716,71,123,#26f7fd
717,73,123,#FFFF00
718,74,126,#F81894
719,71,123,#26f7fd
720,73,123,#FFFF00
721,74,126,#F81894
722,71,123,#26f7fd
723,73,122,#FFFF00
724,74,126,#F81894
725,71,123,#26f7fd
726,72,122,#FFFF00
727,74,126,#F81894
728,71,123,#26f7fd
729,72,121,#FFFF00
730,74,126,#F81894
731,71,123,#26f7fd
732,72,121,#FFFF00
733,74,126,#F81894
734,71,123,#26f7fd
735,72,121,#FFFF00
736,74,126,#F81894
737,71,123,#26f7fd
738,72,121,#FFFF00
739,74,126,#F81894
740,71,123,#26f7fd
741,72,121,#FFFF00
742,74,126,#F81894
743,71,123,#26f7fd
744,73,120,#FFFF00
745,74,126,#F81894
746,71,123,#26f7fd
747,73,120,#FFFF00
748,74,126,#F81894
749,71,123,#26f7fd
750,73,121,#FFFF00
751,74,126,#F81894
752,71,123,#26f7fd
753,73,120,#FFFF00
754,74,126,#F81894
755,71,123,#26f7fd
756,73,120,#FFFF00
757,74,126,#F81894
758,71,123,#26f7fd
759,73,120,#FFFF00
760,74,126,#F81894
761,71,123,#26f7fd
762,73,119,#FFFF00
763,74,126,#F81894
764,71,123,#26f7fd
765,73,119,#FFFF00
766,74,126,#F81894
767,71,123,#26f7fd
768,73,118,#FFFF00
769,74,126,#F81894
770,71,123,#26f7fd
771,73,118,#FFFF00
772,74,126,#F81894
773,71,123,#26f7fd
774,74,118,#FFFF00
775,74,126,#F81894
776,71,123,#26f7fd
777,74,117,#FFFF00
778,74,126,#F81894
779,71,123,#26f7fd
780,74,117,#FFFF00
781,74,126,#F81894
782,71,123,#26f7fd
783,74,117,#FFFF00
784,74,126,#F81894
785,71,123,#26f7fd
786,73,116,#FFFF00
787,74,126,#F81894
788,71,123,#26f7fd
789,73,116,#FFFF00
790,74,126,#F81894
791,71,123,#26f7fd
792,73,116,#FFFF00
793,74,126,#F81894
794,71,123,#26f7fd
795,72,116,#FFFF00
796,74,126,#F81894
797,71,123,#26f7fd
798,72,116,#FFFF00
799,74,126,#F81894
800,71,123,#26f7fd
801,72,115,#FFFF00
802,74,126,#F81894
803,71,123,#26f7fd
804,71,115,#FFFF00
805,74,126,#F81894
806,71,123,#26f7fd
807,71,115,#FFFF00
808,74,126,#F81894
809,71,123,#26f7fd
810,70,115,#FFFF00
811,74,126,#F81894
812,71,123,#26f7fd
813,70,115,#FFFF00
814,74,126,#F81894
815,71,123,#26f7fd
816,70,115,#FFFF00
817,74,126,#F81894
818,71,123,#26f7fd
819,70,115,#FFFF00
820,74,126,#F81894
821,71,123,#26f7fd
822,70,115,#FFFF00
823,74,126,#F81894
824,71,123,#26f7fd
825,70,115,#FFFF00
826,74,126,#F81894
827,71,123,#26f7fd
828,70,115,#FFFF00
829,74,126,#F81894
830,71,123,#26f7fd
831,70,115,#FFFF00
832,74,126,#F81894
833,71,123,#26f7fd
834,70,115,#FFFF00
835,74,126,#F81894
836,71,123,#26f7fd
837,70,115,#FFFF00
838,74,126,#F81894
839,71,123,#26f7fd
840,70,115,#FFFF00
841,74,126,#F81894
842,71,123,#26f7fd
843,70,116,#FFFF00
844,74,126,#F81894
845,71,123,#26f7fd
846,70,116,#FFFF00
847,74,126,#F81894
848,71,123,#26f7fd
849,70,116,#FFFF00
850,74,126,#F81894
851,71,123,#26f7fd
852,70,117,#FFFF00
853,74,126,#F81894
854,71,123,#26f7fd
855,70,117,#FFFF00
856,74,126,#F81894
857,71,123,#26f7fd
858,70,117,#FFFF00
859,74,126,#F81894
860,71,123,#26f7fd
861,70,117,#FFFF00
862,74,126,#F81894
863,71,123,#26f7fd
864,70,117,#FFFF00
865,74,126,#F81894
866,71,123,#26f7fd
867,70,117,#FFFF00
868,74,126,#F81894
869,71,123,#26f7fd
870,70,117,#FFFF00
871,74,126,#F81894
872,71,123,#26f7fd
873,70,117,#FFFF00
874,74,126,#F81894
875,71,123,#26f7fd
876,70,117,#FFFF00
877,74,126,#F81894
878,71,123,#26f7fd
879,70,118,#FFFF00
880,74,126,#F81894
881,71,123,#26f7fd
882,70,118,#FFFF00
883,74,126,#F81894
884,71,123,#26f7fd
885,70,118,#FFFF00
886,74,126,#F81894
887,71,123,#26f7fd
888,70,118,#FFFF00
889,74,126,#F81894
890,71,123,#26f7fd
891,70,118,#FFFF00
892,74,126,#F81894
893,71,123,#26f7fd
894,70,118,#FFFF00
895,74,126,#F81894
896,71,123,#26f7fd
897,70,118,#FFFF00
898,74,126,#F81894
899,71,123,#26f7fd
900,70,118,#FFFF00
901,74,126,#F81894
902,71,123,#26f7fd
903,71,118,#FFFF00
904,74,126,#F81894
905,71,123,#26f7fd
906,71,118,#FFFF00
907,74,126,#F81894
908,71,123,#26f7fd
909,71,118,#FFFF00
910,74,126,#F81894
911,71,123,#26f7fd
912,72,118,#FFFF00
913,74,126,#F81894
914,71,123,#26f7fd
915,72,118,#FFFF00
916,74,126,#F81894
917,71,123,#26f7fd
918,73,118,#FFFF00
919,74,126,#F81894
920,71,123,#26f7fd
921,73,118,#FFFF00
922,74,126,#F81894
923,71,123,#26f7fd
924,73,118,#FFFF00
925,74,126,#F81894
926,71,123,#26f7fd
927,73,119,#FFFF00
928,74,126,#F81894
929,71,123,#26f7fd
930,73,119,#FFFF00
931,74,126,#F81894
932,71,123,#26f7fd
933,73,120,#FFFF00
934,74,126,#F81894
935,71,123,#26f7fd
936,74,120,#FFFF00
937,74,126,#F81894
938,71,123,#26f7fd
939,74,121,#FFFF00
940,74,126,#F81894
941,71,123,#26f7fd
942,74,121,#FFFF00
943,74,126,#F81894
944,71,123,#26f7fd
945,74,121,#FFFF00
946,74,126,#F81894
947,71,123,#26f7fd
948,74,122,#FFFF00
949,74,126,#F81894
950,71,123,#26f7fd
951,74,122,#FFFF00
952,74,126,#F81894
953,71,123,#26f7fd
954,74,122,#FFFF00
955,74,126,#F81894
956,71,123,#26f7fd
957,74,122,#FFFF00
958,74,126,#F81894
959,71,123,#26f7fd
960,74,122,#FFFF00
961,74,126,#F81894
962,71,123,#26f7fd
963,74,122,#FFFF00
964,74,126,#F81894
965,71,123,#26f7fd
966,74,122,#FFFF00
967,74,126,#F81894
968,71,123,#26f7fd
969,74,122,#FFFF00
970,74,126,#F81894
971,71,123,#26f7fd
972,74,122,#FFFF00
973,74,126,#F81894
974,71,123,#26f7fd
975,74,122,#FFFF00
976,74,126,#F81894
977,71,123,#26f7fd
978,74,122,#FFFF00
979,74,126,#F81894
980,71,123,#26f7fd
981,74,123,#FFFF00
982,73,125,#F81894
983,71,123,#26f7fd
984,74,123,#FFFF00
985,73,125,#F81894
986,71,123,#26f7fd
987,74,123,#FFFF00
988,73,125,#F81894
989,71,123,#26f7fd
990,74,123,#FFFF00
991,73,125,#F81894
992,71,123,#26f7fd
993,74,123,#FFFF00
994,73,125,#F81894
995,71,123,#26f7fd
996,74,123,#FFFF00
997,73,125,#F81894
998,71,123,#26f7fd
999,74,123,#FFFF00
1000,73,125,#F81894
1001,71,123,#26f7fd
1002,74,123,#FFFF00
1003,73,125,#F81894
1004,71,123,#26f7fd
1005,74,123,#FFFF00
1006,73,125,#F81894
1007,71,123,#26f7fd
1008,74,123,#FFFF00
1009,73,125,#F81894
1010,71,123,#26f7fd
1011,74,123,#FFFF00
1012,73,125,#F81894
1013,71,123,#26f7fd
1014,74,123,#FFFF00
1015,73,125,#F81894
1016,71,123,#26f7fd
1017,74,123,#FFFF00
1018,73,125,#F81894
1019,71,123,#26f7fd
1020,74,123,#FFFF00
1021,73,125,#F81894
1022,71,123,#26f7fd
1023,74,123,#FFFF00
1024,73,125,#F81894
1025,71,123,#26f7fd
1026,74,123,#FFFF00
1027,73,125,#F81894
1028,71,123,#26f7fd
1029,74,123,#FFFF00
1030,73,125,#F81894
1031,71,123,#26f7fd
1032,74,123,#FFFF00
1033,73,125,#F81894
1034,71,123,#26f7fd
1035,74,123,#FFFF00
1036,72,125,#F81894
1037,71,123,#26f7fd
1038,74,123,#FFFF00
1039,72,125,#F81894
1040,71,123,#26f7fd
1041,74,123,#FFFF00
1042,71,125,#F81894
1043,71,123,#26f7fd
1044,74,123,#FFFF00
1045,71,125,#F81894
1046,71,123,#26f7fd
1047,74,123,#FFFF00
1048,71,125,#F81894
1049,71,123,#26f7fd
1050,74,123,#FFFF00
1051,70,125,#F81894
1052,71,123,#26f7fd
1053,74,123,#FFFF00
1054,70,125,#F81894
1055,71,123,#26f7fd
1056,74,123,#FFFF00
1057,69,125,#F81894
1058,71,123,#26f7fd
1059,74,123,#FFFF00
1060,69,125,#F81894
1061,71,123,#26f7fd
1062,74,123,#FFFF00
1063,68,125,#F81894
1064,71,123,#26f7fd
1065,74,123,#FFFF00
1066,68,125,#F81894
1067,71,123,#26f7fd
1068,74,123,#FFFF00
1069,67,125,#F81894
1070,71,123,#26f7fd
1071,74,123,#FFFF00
1072,67,125,#F81894
1073,71,123,#26f7fd
1074,74,123,#FFFF00
1075,67,125,#F81894
1076,71,123,#26f7fd
1077,74,123,#FFFF00
1078,67,125,#F81894
1079,71,123,#26f7fd
1080,74,123,#FFFF00
1081,67,125,#F81894
1082,71,123,#26f7fd
1083,74,123,#FFFF00
1084,66,125,#F81894
1085,71,123,#26f7fd
1086,74,123,#FFFF00
1087,66,125,#F81894
1088,71,123,#26f7fd
1089,74,123,#FFFF00
1090,66,125,#F81894
1091,71,123,#26f7fd
1092,74,123,#FFFF00
1093,66,125,#F81894
1094,71,123,#26f7fd
1095,74,123,#FFFF00
1096,66,125,#F81894
1097,71,123,#26f7fd
1098,74,123,#FFFF00
1099,66,125,#F81894
1100,71,123,#26f7fd
1101,74,123,#FFFF00
1102,66,125,#F81894
1103,71,123,#26f7fd
1104,74,123,#FFFF00
1105,66,125,#F81894
1106,71,123,#26f7fd
1107,74,123,#FFFF00
1108,66,125,#F81894
1109,71,123,#26f7fd
1110,73,123,#FFFF00
1111,66,125,#F81894
1112,71,123,#26f7fd
1113,73,123,#FFFF00
1114,66,125,#F81894
1115,71,123,#26f7fd
1116,73,123,#FFFF00
1117,66,125,#F81894
1118,71,123,#26f7fd
1119,73,122,#FFFF00
1120,66,125,#F81894
1121,71,123,#26f7fd
1122,72,122,#FFFF00
1123,67,125,#F81894
